id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
C,,(IFGS) Recommended Procedure for Safety Inspection of an Existing Appliance Installation,,,,,,This appendix is not a part of the requirements of this code and is included for informational purposes only.User note:About this appendix: Appendix D provides procedures for testing and inspecting existing gas appliance installations for safe operation.
C101,,General,,,,,,"The following procedure is intended as a guide to aid in determining that an appliance is properly installed and is in a safe condition for continued use. Where a gas supplier performs an inspection, their written procedures should be followed."
C101.1,Section C101 General,Application,,,,,,"This procedure is intended for existing residential installations of a furnace, boiler, room heater, water heater, cooking appliance, fireplace appliance and clothes dryer. This procedure should be performed prior to any attempt to modify the appliance installation or building envelope."
C101.2,Section C101 General,Weatherization Programs,,,,,,"Before a building envelope is to be modified as part of a weatherization program, the existing appliance installation should be inspected in accordance with these procedures. After all unsafe conditions are repaired, and immediately after the weatherization is complete, the appliance inspections in Section D105.2 are to be repeated."
C101.3,Section C101 General,Inspection Procedure,,,,,,"The safety of the building occupant and inspector are to be determined as the first step as described in Section D102. Only after the ambient environment is found to be safe should inspections of gas piping and appliances be undertaken. It is recommended that all inspections described in Sections D103, D104, and D106, where the appliance is in the off mode, be completed and any unsafe conditions repaired or corrected before continuing with inspections of an operating appliance described in Sections D105 and D106."
C101.4,Section C101 General,Manufacturer Instructions,,,,,,"Where available, the manufacturer's installation and operating instructions for the installed appliances should be used as part of these inspection procedures to determine if it is installed correctly and is operating properly."
C101.5,Section C101 General,Instruments,,,,,,"The inspection procedures include measuring for fuel gas and carbon monoxide (CO) and will require the use of a combustible gas detector (CGD) and a CO detector. It is recommended that both types of detectors be listed. Prior to any inspection, the detectors should be calibrated or tested in accordance with the manufacturer's instructions. In addition, it is recommended that the detectors have the following minimum specifications.Gas Detector. The CGD should be capable of indicating the presence of the type of fuel gas for which it is to be used (e.g. natural gas or propane). The combustible gas detector should be capable of the following:PPM: Numeric display with a parts per million (ppm) scale from 1 ppm to 900 ppm in 1 ppm increments.LEL: Numeric display with a percent lower explosive limit (% LEL) scale from 0 percent to 100 percent in 1 percent increments.Audio: An audio sound feature to locate leaks.CO Detector. The CO detector should be capable of the following functions and have a numeric display scale as follows:PPM: For measuring ambient room and appliance emissions a display scale in parts per million (ppm) from 0 to 1,000 ppm in 1 ppm increments.Alarm: A sound alarm function where hazardous levels of ambient CO is found (see Section D102 for alarm levels)Air Free: Capable of converting CO measurements to an air free level in ppm. Where a CO detector is used without an air free conversion function, the CO air free can be calculated in accordance with Note 3 in Table D106."
C102,,Occupant and Inspector Safety,,,,,,"Prior to entering a building, the inspector should have both a combustible gas detector (CGD) and CO detector turned on, calibrated, and operating. Immediately upon entering the building, a sample of the ambient atmosphere should be taken. Based on CGD and CO detector readings, the inspector should take the following actions:The CO detector indicates a carbon monoxide level of 70 ppm or greater1. The inspector should immediately notify the occupant of the need for themselves and any building occupant to evacuate; the inspector shall immediately evacuate and call 911.Where the CO detector indicates a reading between 30 ppm and 70 ppm1. The inspector should advise the occupant that high CO levels have been found and recommend that all possible sources of CO should be turned off immediately and windows and doors opened. Where it appears that the source of CO is a permanently installed appliance, advise the occupant to keep the appliance off and have the appliance serviced by a qualified servicing agent.Where CO detector indicates CO below 30 ppm1 the inspection can continue.The CGD indicates a combustible gas level of 20% LEL or greater. The inspector should immediately notify the occupant of the need for themselves and any building occupant to evacuate; the inspector shall immediately evacuate and call 911.The CGD indicates a combustible gas level below 20% LEL, the inspection can continue.If during the inspection process it is determined a condition exists that could result in unsafe appliance operation, shut off the appliance and advise the owner of the unsafe condition. Where a gas leak is found that could result in an unsafe condition, advise the owner of the unsafe condition and call the gas supplier to turn off the gas supply. The inspector should not continue a safety inspection on an operating appliance, venting system, and piping system until repairs have been made.1U.S. Consumer Product Safety Commission, Responding to Residential Carbon Monoxide Incidents, Guidelines For Fire and Other Emergency Response Personnel, Approved 7/23/02"
C103,,Gas Piping and Connections Inspections,,,,,,"Leak Checks. Conduct a test for gas leakage using either a non-corrosive leak detection solution or a CGD confirmed with a leak detection solution. The preferred method for leak checking is by use of gas leak detection solution applied to all joints. This method provides a reliable visual indication of significant leaks. The use of a CGD in its audio sensing mode can quickly locate suspect leaks but can be overly sensitive indicating insignificant and false leaks. All suspect leaks found through the use of a CGD should be confirmed using a leak detection solution. Where gas leakage is confirmed, the owner should be notified that repairs must be made. The inspection should include the following components:All gas piping fittings located within the appliance space.Appliance connector fittings.Appliance gas valve/regulator housing and connections.Appliance Connector. Verify that the appliance connection type is compliant with Section 411 of the International Fuel Gas Code. Inspect flexible appliance connections to determine if they are free of cracks, corrosion and signs of damage. Verify that there are no uncoated brass connectors. Where connectors are determined to be unsafe or where an uncoated brass connector is found, the appliance shutoff valve should be placed in the off position and the owner notified that the connector must be replaced.Piping Support. Inspect piping to determine that it is adequately supported, that there is no undue stress on the piping, and if there are any improperly capped pipe openings.Bonding. Verify that the electrical bonding of gas piping is compliant with Section 310 of the International Fuel Gas Code."
C104,,Inspections to Be Performed With the Appliance Not Operating,,,,,,"The following safety inspection procedures are performed on appliances that are not operating. These inspections are applicable to all appliance installations.Preparing for Inspection. Shut off all gas and electrical power to the appliances located in the same room being inspected. For gas supply, use the shutoff valve in the supply line or at the manifold serving each appliance. For electrical power, place the circuit breaker in the off position or remove the fuse that serves each appliance. A lock type device or tag should be installed on each gas shutoff valve and at the electrical panel to indicate that the service has been shut off for inspection purposes.Vent System Size and Installation. Verify that the existing venting system size and installation are compliant with Chapter 5 of the International Fuel Gas Code. The size and installation of venting systems for other than natural draft and Category I appliances should be in compliance with the manufacturer's installation instructions. Inspect the venting system to determine that it is free of blockage, restriction, leakage, corrosion, and other deficiencies that could cause an unsafe condition. Inspect masonry chimneys to determine if they are lined. Inspect plastic venting system to determine that it is free of sagging and it is sloped in an upward direction to the outdoor vent termination.Combustion Air Supply. Inspect provisions for combustion air as follows:No Direct-vent Appliances. Determine that non-direct vent appliance installations are compliant with the combustion air requirements in Section 304 of the International Fuel Gas Code. Inspect any interior and exterior combustion air openings and any connected combustion air ducts to determine that there is no blockage, restriction, corrosion or damage. Inspect to determine that the upper horizontal combustion air duct is not sloped in a downward direction toward the air supply source.Direct Vent Appliances. Verify that the combustion air supply ducts and pipes are securely fastened to direct vent appliance and determine that there are no separations, blockage, restriction, corrosion or other damage. Determine that the combustion air source is located in the outdoors or to areas that freely communicate to the outdoors.Unvented Appliances. Verify that the total input of all unvented room heaters and gas-fired refrigerators installed in the same room or rooms that freely communicate with each other does not exceed 20 Btu/hr/ft3.Flooded Appliances. Inspect the appliance for signs that the appliance may have been damaged by flooding. Signs of flooding include a visible water submerge line on the appliance housing, excessive surface or component rust, deposited debris on internal components, and mildew-like odor. Inform the owner that any part of the appliance control system and any appliance gas control that has been under water must be replaced. All flood-damaged plumbing, heating, cooling and electrical appliances should be replaced.Flammable Vapors. Inspect the room/space where the appliance is installed to determine if the area is free of the storage of gasoline or any flammable products such as oil-based solvents, varnishes or adhesives. Where the appliance is installed where flammable products will be stored or used, such as a garage, verify that the appliance burner(s) is a minimum of 18"" above the floor unless the appliance is listed as flammable vapor ignition resistant.Clearances to Combustibles. Inspect the immediate location where the appliance is installed to determine if the area is free of rags, paper or other combustibles. Verify that the appliance and venting system are compliant with clearances to combustible building components in accordance with Sections 305.8, 501.15.4, 502.5, 503.6.2, 503.10.5 and other applicable sections of Section 503.Appliance Components. Inspect internal components by removing access panels or other components for the following:Inspect burners and crossovers for blockage and corrosion. The presence of soot, debris, and signs of excessive heating are potential indicators of incomplete combustion caused by blockage or improper burner adjustments.Metallic and non-metallic hoses for signs of cracks, splitting, corrosion, and lose connections.Signs of improper or incomplete repairsModifications that override controls and safety systemsElectrical wiring for loose connections; cracks, missing or worn electrical insulation; and indications of excessive heat or electrical shorting. Appliances requiring an external electrical supply should be inspected for proper electrical connection in accordance with the National Electric Code.Placing Appliances Back in Operation. Return all inspected appliances and systems to their preexisting state by reinstalling any removed access panels and components. Turn on the gas supply and electricity to each appliance found in safe condition. Proceed to the operating inspections in Sections D105 through D106."
