id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
B,,"(IFGS) Sizing of Venting Systems Serving Appliances Equipped With Draft Hoods, Category I Appliances and Appliances Listed for Use With Type B Vents",,,,,,"This appendix is informative and is not part of the code.User note:About this appendix: Appendix B provides commentary, guidance and examples for the design of venting systems for the types of appliances that vent by natural draft and have draft hoods or are listed as Category I or are listed for use with Type B vents."
B101.1,Section B101 Examples Using Single-Appliance Venting Tables,Example 1: Single Draft-Hood-Equipped Appliance,,,,,,"An installer has a 120,000 British thermal unit (Btu) per hour input appliance with a 5-inch-diameter draft hood outlet that needs to be vented into a 10-foot-high Type B vent system. What size vent should be used assuming (a) a 5-foot lateral single-wall metal vent connector is used with two 90-degree elbows, or (b) a 5-foot lateral single-wall metal vent connector is used with three 90-degree elbows in the vent system?Solution:Table 504.2(2) should be used to solve this problem, because single-wall metal vent connectors are being used with a Type B vent.Read down the first column in Table 504.2(2) until the row associated with a 10-foot height and 5-foot lateral is found. Read across this row until a vent capacity greater than 120,000 Btu per hour is located in the shaded columns labeled ""NAT Max"" for draft-hood-equipped appliances. In this case, a 5-inch-diameter vent has a capacity of 122,000 Btu per hour and can be used for this application.If three 90-degree elbows are used in the vent system, then the maximum vent capacity listed in the tables must be reduced by 10 percent (see Section 504.2.3 for single-appliance vents). This implies that the 5-inch-diameter vent has an adjusted capacity of only 110,000 Btu per hour. In this case, the vent system must be increased to 6 inches in diameter (see calculations below).122,000 (.90) = 110,000 for 5-inch ventFrom Table 504.2(2), Select 6-inch vent186,000 (.90) = 167,000; This is greater than the required 120,000. Therefore, use a 6-inch vent and connector where three elbows are used.See Figure B101.1 for an example.For SI: 1 foot = 304.8 mm, 1 British thermal unit per hour = 0.2931 W.FIGURE B101.1EXAMPLE 1—SINGLE DRAFT-HOOD-EQUIPPED APPLIANCE"
B101.2,Section B101 Examples Using Single-Appliance Venting Tables,Example 2: Single Fan-Assisted Appliance,,,,,,"An installer has an 80,000 Btu per hour input fan-assisted appliance that must be installed using 10 feet of lateral connector attached to a 30-foot-high Type B vent. Two 90-degree elbows are needed for the installation. Can a single-wall metal vent connector be used for this application?Solution:Table 504.2(2) refers to the use of single-wall metal vent connectors with Type B vent. In the first column find the row associated with a 30-foot height and a 10-foot lateral. Read across this row, looking at the FAN Min and FAN Max columns, to find that a 3-inch-diameter single-wall metal vent connector is not recommended. Moving to the next larger size single wall connector (4 inches), note that a 4-inch-diameter single-wall metal connector has a recommended minimum vent capacity of 91,000 Btu per hour and a recommended maximum vent capacity of 144,000 Btu per hour. The 80,000 Btu per hour fan-assisted appliance is outside this range, so the conclusion is that a single-wall metal vent connector cannot be used to vent this appliance using 10 feet of lateral for the connector.However, if the 80,000 Btu per hour input appliance could be moved to within 5 feet of the vertical vent, then a 4-inch single-wall metal connector could be used to vent the appliance. Table 504.2(2) shows the acceptable range of vent capacities for a 4-inch vent with 5 feet of lateral to be between 72,000 Btu per hour and 157,000 Btu per hour.If the appliance cannot be moved closer to the vertical vent, then Type B vent could be used as the connector material. In this case, Table 504.2(1) shows that for a 30-foot-high vent with 10 feet of lateral, the acceptable range of vent capacities for a 4-inch-diameter vent attached to a fan-assisted appliance is between 37,000 Btu per hour and 150,000 Btu per hour.See Figure B101.2 for an example.For SI: 1 foot = 304.8 mm, 1 British thermal unit per hour = 0.2931 W.FIGURE B101.2EXAMPLE 2—SINGLE FAN-ASSISTED APPLIANCE"
B101.3,Section B101 Examples Using Single-Appliance Venting Tables,Example 3: Interpolating Between Table Values,,,,,,"An installer has an 80,000 Btu per hour input appliance with a 4-inch-diameter draft hood outlet that needs to be vented into a 12-foot-high Type B vent. The vent connector has a 5-foot lateral length and is also Type B. Can this appliance be vented using a 4-inch-diameter vent? Solution:Table 504.2(1) is used in the case of an all Type B vent system. However, since there is no entry in Table 504.2(1) for a height of 12 feet, interpolation must be used. Read down the 4-inch diameter NAT Max column to the row associated with 10-foot height and 5-foot lateral to find the capacity value of 77,000 Btu per hour. Read further down to the 15-foot height, 5-foot lateral row to find the capacity value of 87,000 Btu per hour. The difference between the 15-foot height capacity value and the 10-foot height capacity value is 10,000 Btu per hour. The capacity for a vent system with a 12-foot height is equal to the capacity for a 10-foot height plus 2/5 of the difference between the 10-foot and 15-foot height values, or 77,000 + 2/5 (10,000) = 81,000 Btu per hour. Therefore, a 4-inch-diameter vent can be used in the installation."
B101.4,Section B101 Examples Using Single-Appliance Venting Tables,Figures,,,,,,"See Figures B101.4(1) through B101.4(5) for examples of single-appliance venting.Table 504.2(1) is used where sizing Type B double-wall gas vent connected directly to the appliance.Note: The appliance can be either Category I draft hood equipped or fan-assisted type.FIGURE B101.4(1)TYPE B DOUBLE-WALL VENT SYSTEM SERVING A SINGLE APPLIANCE WITH A TYPE B DOUBLE-WALL VENTTable 504.2(2) is used where sizing a single-wall metal vent connector attached to a Type B double-wall gas vent.Note: The appliance can be either Category I draft hood equipped or fan-assisted type.FIGURE B101.4(2)TYPE B DOUBLE-WALL VENT SYSTEM SERVING A SINGLE APPLIANCE WITH A SINGLE-WALL METAL VENT CONNECTORTable 504.2(3) is used where sizing a Type B double-wall gas vent connector attached to a tile-lined masonry chimney.Note: ""A"" is the equivalent cross-sectional area of the tile liner.Note: The appliance can be either Category I draft hood equipped or fan-assisted type.FIGURE B101.4(3)VENT SYSTEM SERVING A SINGLE APPLIANCE WITH A MASONRY CHIMNEY OF TYPE B DOUBLE-WALL VENT CONNECTORTable 504.2(4) is used where sizing a single-wall vent connector attached to a tile-lined masonry chimney.Note: ""A"" is the equivalent cross-sectional area of the tile liner.Note: The appliance can be either Category I draft hood equipped or fan-assisted type.FIGURE B101.4(4)VENT SYSTEM SERVING A SINGLE APPLIANCE USING A MASONRY CHIMNEY AND A SINGLE-WALL METAL VENT CONNECTORAsbestos cement Type B or single-wall metal vent serving a single draft-hood-equipped appliance [see Table 504.2(5)].FIGURE B101.4(5)ASBESTOS CEMENT TYPE B OR SINGLE-WALL METAL VENT SYSTEM SERVING A SINGLE DRAFT-HOOD-EQUIPPED APPLIANCE"
B102.1,Section B102 Examples Using Common Venting Tables,Example 4: Common Venting Two Draft-Hood-Equipped Appliances,,,,,,"A 35,000 Btu per hour water heater is to be common vented with a 150,000 Btu per hour furnace using a common vent with a total height of 30 feet. The connector rise is 2 feet for the water heater with a horizontal length of 4 feet. The connector rise for the furnace is 3 feet with a horizontal length of 8 feet. Assume single-wall metal connectors will be used with Type B vent. What size connectors and combined vent should be used in this installation?Solution:Table 504.3(2) should be used to size single-wall metal vent connectors attached to Type B vertical vents. In the vent connector capacity portion of Table 504.3(2), find the row associated with a 30-foot vent height. For a 2-foot rise on the vent connector for the water heater, read the shaded columns for draft-hood-equipped appliances to find that a 3-inch-diameter vent connector has a capacity of 37,000 Btu per hour. Therefore, a 3-inch single-wall metal vent connector can be used with the water heater. For a draft-hood-equipped furnace with a 3-foot rise, read across the appropriate row to find that a 5-inch-diameter vent connector has a maximum capacity of 120,000 Btu per hour (which is too small for the furnace) and a 6-inch-diameter vent connector has a maximum vent capacity of 172,000 Btu per hour. Therefore, a 6-inch-diameter vent connector should be used with the 150,000 Btu per hour furnace. Since both vent connector horizontal lengths are less than the maximum lengths listed in Section 504.3.2, the table values can be used without adjustments.In the common vent capacity portion of Table 504.3(2), find the row associated with a 30-foot vent height and read over to the NAT + NAT portion of the 6-inch-diameter column to find a maximum combined capacity of 257,000 Btu per hour. Since the two appliances total only 185,000 Btu per hour, a 6-inch common vent can be used.See Figure B102.1 for an example.FIGURE B102.1EXAMPLE 4—COMMON VENTING TWO DRAFT-HOOD-EQUIPPED APPLIANCES"
B102.2,Section B102 Examples Using Common Venting Tables,Example 5A: Common Venting a Draft-Hood-Equipped Water Heater With a Fan-Assisted Furnace Into a Type B Vent,,,,,,"In this case, a 35,000 Btu per hour input draft-hood-equipped water heater with a 4-inch-diameter draft hood outlet, 2 feet of connector rise, and 4 feet of horizontal length is to be common vented with a 100,000 Btu per hour fan-assisted furnace with a 4-inch-diameter flue collar, 3 feet of connector rise, and 6 feet of horizontal length. The common vent consists of a 30-foot height of Type B vent. What are the recommended vent diameters for each connector and the common vent? The installer would like to use a single-wall metal vent connector.Solution: [Table 504.3(2)].Water Heater Vent Connector Diameter. Since the water heater vent connector horizontal length of 4 feet is less than the maximum value listed in Section 504.3.2, the venting table values can be used without adjustments. Using the Vent Connector Capacity portion of Table 504.3(2), read down the Total Vent Height (H) column to 30 feet and read across the 2-foot Connector Rise (R) row to the first Btu per hour rating in the NAT Max column that is equal to or greater than the water heater input rating. The table shows that a 3-inch vent connector has a maximum input rating of 37,000 Btu per hour. Although this is greater than the water heater input rating, a 3-inch vent connector is prohibited by Section 504.3.21. A 4-inch vent connector has a maximum input rating of 67,000 Btu per hour and is equal to the draft hood outlet diameter. A 4-inch vent connector is selected. Since the water heater is equipped with a draft hood, there are no minimum input rating restrictions.Furnace Vent Connector Diameter. Using the Vent Connector Capacity portion of Table 504.3(2), read down the Total Vent Height (H) column to 30 feet and across the 3-foot Connector Rise (R) row. Since the furnace has a fan-assisted combustion system, find the first FAN Max column with a Btu per hour rating greater than the furnace input rating. The 4-inch vent connector has a maximum input rating of 119,000 Btu per hour and a minimum input rating of 85,000 Btu per hour. The 100,000 Btu per hour furnace in this example falls within this range, so a 4-inch connector is adequate. Since the furnace vent connector horizontal length of 6 feet does not exceed the maximum value listed in Section 504.3.2, the venting table values can be used without adjustment. If the furnace had an input rating of 80,000 Btu per hour, then a Type B vent connector [see Table 504.3(1)] would be needed in order to meet the minimum capacity limit.Common Vent Diameter. The total input to the common vent is 135,000 Btu per hour. Using the Common Vent Capacity portion of Table 504.3(2), read down the Total Vent Height (H) column to 30 feet and across this row to find the smallest vent diameter in the FAN + NAT column that has a Btu per hour rating equal to or greater than 135,000 Btu per hour. The 4-inch common vent has a capacity of 132,000 Btu per hour and the 5-inch common vent has a capacity of 202,000 Btu per hour. Therefore, the 5-inch common vent should be used in this example.Summary. In this example, the installer can use a 4-inch-diameter, single-wall metal vent connector for the water heater and a 4-inch-diameter, single-wall metal vent connector for the furnace. The common vent should be a 5-inch-diameter Type B vent.See Figure B102.2 for an example.For SI: 1 British thermal unit per hour = 0.2931 W.FIGURE B102.2EXAMPLE 5A—COMMON VENTING A DRAFT HOOD WITH A FAN-ASSISTED FURNACE INTO A TYPE B DOUBLE-WALL COMMON VENT"
B102.3,Section B102 Examples Using Common Venting Tables,Example 5B: Common Venting Into a Masonry Chimney,,,,,,"In this case, the water heater and fan-assisted furnace of Example 5a are to be common vented into a clay tile-lined masonry chimney with a 30-foot height. The chimney is not exposed to the outdoors below the roof line. The internal dimensions of the clay tile liner are nominally 8 inches by 12 inches. Assuming the same vent connector heights, laterals, and materials found in Example 5a, what are the recommended vent connector diameters, and is this an acceptable installation?Solution:Table 504.3(4) is used to size common venting installations involving single-wall connectors into masonry chimneys.Water Heater Vent Connector Diameter. Using Table 504.3(4), Vent Connector Capacity, read down the Total Vent Height (H) column to 30 feet, and read across the 2-foot Connector Rise (R) row to the first Btu per hour rating in the NAT Max column that is equal to or greater than the water heater input rating. The table shows that a 3-inch vent connector has a maximum input of only 31,000 Btu per hour while a 4-inch vent connector has a maximum input of 57,000 Btu per hour. A 4-inch vent connector must therefore be used.Furnace Vent Connector Diameter. Using the Vent Connector Capacity portion of Table 504.3(4), read down the Total Vent Height (H) column to 30 feet and across the 3-foot Connector Rise (R) row. Since the furnace has a fan-assisted combustion system, find the first FAN Max column with a Btu per hour rating greater than the furnace input rating. The 4-inch vent connector has a maximum input rating of 127,000 Btu per hour and a minimum input rating of 95,000 Btu per hour. The 100,000 Btu per hour furnace in this example falls within this range, so a 4-inch connector is adequate.Masonry Chimney. From Table B102.3, the equivalent area for a nominal liner size of 8 inches by 12 inches is 63.6 square inches. Using Table 504.3(4), Common Vent Capacity, read down the FAN + NAT column under the Minimum Internal Area of Chimney value of 63 to the row for 30-foot height to find a capacity value of 739,000 Btu per hour. The combined input rating of the furnace and water heater, 135,000 Btu per hour, is less than the table value, so this is an acceptable installation.Section 504.3.17 requires the common vent area to be not greater than seven times the smallest listed appliance categorized vent area, flue collar area, or draft hood outlet area. Both appliances in this installation have 4-inch-diameter outlets. From Table B102.3, the equivalent area for an inside diameter of 4 inches is 12.2 square inches. Seven times 12.2 equals 85.4, which is greater than 63.6, so this configuration is acceptable.TABLE B102.3MASONRY CHIMNEY LINER DIMENSIONS WITH CIRCULAR EQUIVALENTSaNOMINAL LINER SIZE (inches)INSIDE DIMENSIONS OF LINER (inches)INSIDE DIAMETER OR EQUIVALENT DIAMETER (inches)EQUIVALENT AREA (square inches)4 × 821/2 × 61/2412.2519.6628.3738.38 × 863/4 × 63/47.442.7850.38 × 1261/2 × 101/2963.61078.512 × 1293/4 × 9 3/410.483.3119512 × 1691/2 × 131/211.8107.512113.014153.916 × 16131/4 × 131/414.5162.915176.716 × 2013 × 1716.2206.118254.420 × 20163/4 × 163/418.2260.220314.120 × 24161/2 × 201/220.1314.222380.124 × 24201/4 × 201/422.1380.124452.324 × 28201/4 × 201/424.1456.228 × 28241/4 × 241/426.4543.327572.530 × 30251/2 × 251/227.960730706.830 × 36251/2 × 311/230.9749.933855.336 × 36311/2 × 311/234.4929.4361017.9For SI: 1 inch = 25.4 mm, 1 square inch = 645.16 m2.Where liner sizes differ dimensionally from those shown in Table B102.3, equivalent diameters can be determined from published tables for square and rectangular ducts of equivalent carrying capacity or by other engineering methods."
B102.4,Section B102 Examples Using Common Venting Tables,Example 5C: Common Venting Into an Exterior Masonry Chimney,,,,,,"In this case, the water heater and fan-assisted furnace of Examples 5a and 5b are to be common vented into an exterior masonry chimney. The chimney height, clay tile liner dimensions, and vent connector heights and laterals are the same as in Example 5b. This system is being installed in Charlotte, North Carolina. Does this exterior masonry chimney need to be relined? If so, what corrugated metallic liner size is recommended? What vent connector diameters are recommended? Solution:In accordance with Section 504.3.20, Type B vent connectors are required to be used with exterior masonry chimneys. Use Table 504.3(7a), Table 504.3(7b) to size FAN+NAT common venting installations involving Type-B double wall connectors into exterior masonry chimneys.The local 99-percent winter design temperature needed to use Table 504.3(7b) can be found in the ASHRAE Handbook of Fundamentals. For Charlotte, North Carolina, this design temperature is 19°F.Chimney Liner Requirement. As in Example 5b, use the 63 square inch Internal Area columns for this size clay tile liner. Read down the 63 square inch column of Table 504.3(7a) to the 30-foot height row to find that the combined appliance maximum input is 747,000 Btu per hour. The combined input rating of the appliances in this installation, 135,000 Btu per hour, is less than the maximum value, so this criterion is satisfied. Table 504.3(7b), at a 19°F design temperature, and at the same vent height and internal area used above, shows that the minimum allowable input rating of a space-heating appliance is 470,000 Btu per hour. The furnace input rating of 100,000 Btu per hour is less than this minimum value. So this criterion is not satisfied, and an alternative venting design needs to be used, such as a Type B vent shown in Example 5a or a listed chimney liner system shown in the remainder of the example.In accordance with Section 504.3.19, Table 504.3(1) or Table 504.3(2) is used for sizing corrugated metallic liners in masonry chimneys, with the maximum common vent capacities reduced by 20 percent. This example will be continued assuming Type B vent connectors.Water Heater Vent Connector Diameter. Using Table 504.3(1), Vent Connector Capacity, read down the Total Vent Height (H) column to 30 feet, and read across the 2-foot Connector Rise (R) row to the first Btu/h rating in the NAT Max column that is equal to or greater than the water heater input rating. The table shows that a 3-inch vent connector has a maximum capacity of 39,000 Btu/h. Although this rating is greater than the water heater input rating, a 3-inch vent connector is prohibited by Section 504.3.21. A 4-inch vent connector has a maximum input rating of 70,000 Btu/h and is equal to the draft hood outlet diameter. A 4-inch vent connector is selected.Furnace Vent Connector Diameter. Using Table 504.3(1), Vent Connector Capacity, read down the Vent Height (H) column to 30 feet, and read across the 3-foot Connector Rise (R) row to the first Btu per hour rating in the FAN Max column that is equal to or greater than the furnace input rating. The 100,000 Btu per hour furnace in this example falls within this range, so a 4-inch connector is adequate.Chimney Liner Diameter. The total input to the common vent is 135,000 Btu per hour. Using the Common Vent Capacity Portion of Table 504.3(1), read down the Vent Height (H) column to 30 feet and across this row to find the smallest vent diameter in the FAN+NAT column that has a Btu per hour rating greater than 135,000 Btu per hour. The 4-inch common vent has a capacity of 138,000 Btu per hour. Reducing the maximum capacity by 20 percent (Section 504.3.19) results in a maximum capacity for a 4-inch corrugated liner of 110,000 Btu per hour, less than the total input of 135,000 Btu per hour. So a larger liner is needed. The 5-inch common vent capacity listed in Table 504.3(1) is 210,000 Btu per hour, and after reducing by 20 percent is 168,000 Btu per hour. Therefore, a 5-inch corrugated metal liner should be used in this example.Single-Wall Connectors. Once it has been established that relining the chimney is necessary, Type B double-wall vent connectors are not specifically required. This example could be redone using Table 504.3(2) for single-wall vent connectors. For this case, the vent connector and liner diameters would be the same as found above with Type B double-wall connectors."
B102.5,Section B102 Examples Using Common Venting Tables,Figures,,,,,,"See Figures B102.5(1) through B102.5(9) for examples of Common Venting. See Figure B102.5(10) for the 99-percent winter design temperatures for the contiguous United States.Table 504.3(1) is used where sizing Type B double-wall vent connectors attached to a Type B double-wall common vent.Note: Each appliance can be either Category I draft hood equipped or fan-assisted type.FIGURE B102.5(1)VENT SYSTEM SERVING TWO OR MORE APPLIANCES WITH TYPE B DOUBLE-WALL VENT AND TYPE B DOUBLE-WALL VENT CONNECTORTable 504.3(2) is used where sizing single-wall vent connectors attached to a Type B double-wall common vent.Note: Each appliance can be either Category I draft hood equipped or fan-assisted type.FIGURE B102.5(2)VENT SYSTEM SERVING TWO OR MORE APPLIANCES WITH TYPE B DOUBLE-WALL VENT AND SINGLE-WALL METAL VENT CONNECTORSTable 504.3(3) is used where sizing Type B double-wall vent connectors attached to a tile-lined masonry chimney.Note: ""A"" is the equivalent cross-sectional area of the tile liner.Note: Each appliance can be either Category I draft hood equipped or fan-assisted type.FIGURE B102.5(3)MASONRY CHIMNEY SERVING TWO OR MORE APPLIANCES WITH TYPE B DOUBLE-WALL VENT CONNECTORTable 504.3(4) is used where sizing single-wall metal vent connectors attached to a tile-lined masonry chimney.Note: ""A"" is the equivalent cross-sectional area of the tile liner.Note: Each appliance can be either Category I draft hood equipped or fan-assisted type.FIGURE B102.5(4)MASONRY CHIMNEY SERVING TWO OR MORE APPLIANCES WITH SINGLE-WALL METAL VENT CONNECTORSAsbestos cement Type B or single-wall metal pipe vent serving two or more draft-hood-equipped appliances [see Table 504.3(5)].FIGURE B102.5(5)ASBESTOS CEMENT TYPE B OR SINGLE-WALL METAL VENT SYSTEM SERVING TWO OR MORE DRAFT-HOOD-EQUIPPED APPLIANCESExample: Manifolded Common Vent Connector LM shall be not greater than 18 times the common vent connector manifold inside diameter; i.e., a 4-inch (102 mm) inside diameter common vent connector manifold shall not exceed 72 inches (1829 mm) in length (see Section 504.3.4).Note: This is an illustration of a typical manifolded vent connector. Different appliance, vent connector, or common vent types are possible. Consult Section 502.3.FIGURE B102.5(6)USE OF MANIFOLD COMMON VENT CONNECTORExample: Offset Common VentNote: This is an illustration of a typical offset vent. Different appliance, vent connector, or vent types are possible. Consult Sections 504.2 and 504.3.FIGURE B102.5(7)USE OF OFFSET COMMON VENTVent connector size depends on:InputRiseAvailable total height ""H""Table 504.3(1) connectorsCommon vent size depends on:Combined inputsAvailable total height ""H""Table 504.3(1) common ventFIGURE B102.5(8)MULTISTORY GAS VENT DESIGN PROCEDURE FOR EACH SEGMENT OF SYSTEMPrinciples of design of multistory vents using vent connector and common vent design tables (see Sections 504.3.11 through 504.3.17).FIGURE B102.5(9)MULTISTORY VENT SYSTEMSNotes:This map is a necessarily generalized guide to temperatures in the contiguous United States. Temperatures shown for areas such as mountainous regions and large urban centers are not necessarily accurate.The climate data used to develop this map are from the ASHRAE Handbook—Fundamentals (Climate Conditions for the United States).For 99-percent winter design temperature in Alaska, consult the ASHRAE Handbook—Fundamentals. The 99-percent winter design temperatures for Hawaii are greater than 37°F.FIGURE B102.5(10)NATIONAL FUEL GAS CODE 99-PERCENT WINTER DESIGN TEMPERATURES FOR THE CONTIGUOUS UNITED STATES"
