id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
3,,General Regulations,,,,,,"User note:About this chapter: Chapter 3 covers general regulations for plumbing installations. As many of these requirements would need to be repeated in Chapters 3 through 14, placing such requirements in only one location eliminates code development coordination issues associated with the same requirement in multiple locations. These general requirements can be superseded by more specific requirements for certain applications in Chapters 3 through 14."
301.1,Section 301 General,Scope,,,,,,The provisions of this chapter shall govern the general regulations regarding the installation of plumbing not specific to other chapters.
301.2,Section 301 General,System Installation,,,,,,Plumbing shall be installed with due regard to preservation of the strength of structural members and prevention of damage to walls and other surfaces through fixture usage.
301.3,Section 301 General,Connections to Drainage System,,,,,,"Plumbing fixtures, drains, appurtenances and appliances used to receive or discharge liquid waste or sewage shall be directly connected to the sanitary drainage system of the building or premises, in accordance with the requirements of this code. This section shall not be construed to prevent indirect waste systems required by Chapter 8. Exception: Bathtubs, showers, lavatories, clothes washers and laundry trays shall not be required to discharge to the sanitary drainage system where such fixtures discharge to an approved system in accordance with Chapters 13 and 14."
301.4,Section 301 General,Connections to Water Supply,,,,,,"Every plumbing fixture, device or appliance requiring or using water for its proper operation shall be directly or indirectly connected to the water supply system in accordance with the provisions of this code."
301.5,Section 301 General,"Pipe, Tube and Fitting Sizes",,,,,,"Unless otherwise indicated, the pipe, tube and fitting sizes specified in this code are expressed in nominal or standard sizes as designated in the referenced material standards."
301.6,Section 301 General,Prohibited Locations,,,,,,"Plumbing systems shall not be located in an elevator shaft or in an elevator equipment room. Exception: Floor drains, sumps and sump pumps shall be permitted at the base of the shaft, provided that they are indirectly connected to the plumbing system and comply with Section 1003.4."
301.7,Section 301 General,Conflicts,,,,,,"In instances where conflicts occur between this code and the manufacturer's installation instructions, the more restrictive provisions shall apply."
302.1,Section 302 Exclusion of Materials Detrimental to the Sewer System,Detrimental or Dangerous Materials,,,,,,"Ashes, cinders or rags; flammable, poisonous or explosive liquids or gases; oil, grease or any other insoluble material capable of obstructing, damaging or overloading the building drainage or sewer system, or capable of interfering with the normal operation of the sewage treatment processes, shall not be deposited, by any means, into such systems."
302.2,Section 302 Exclusion of Materials Detrimental to the Sewer System,Industrial Wastes,,,,,,Waste products from manufacturing or industrial operations shall not be introduced into the public sewer until it has been determined by the code official or other authority having jurisdiction that the introduction thereof will not damage the public sewer system or interfere with the functioning of the sewage treatment plant.
303.1,Section 303 Materials,Identification,,,,,,"Each length of pipe and each pipe fitting, trap, fixture, material and device utilized in a plumbing system shall bear the identification of the manufacturer and any markings required by the applicable referenced standards."
303.2,Section 303 Materials,Installation of Materials,,,,,,"Materials used shall be installed in strict accordance with the standards under which the materials are accepted and approved. In the absence of such installation procedures, the manufacturer's instructions shall be followed. Where the requirements of referenced standards or manufacturer's installation instructions do not conform to minimum provisions of this code, the provisions of this code shall apply."
303.3,Section 303 Materials,"Plastic Pipe, Fittings and Components",,,,,,"Plastic pipe, fittings and components shall be third-party certified as conforming to NSF 14."
303.4,Section 303 Materials,Third-Party Certification,,,,,,Plumbing products and materials required by the code to be in compliance with a referenced standard shall be listed by a third-party certification agency as complying with the referenced standards. Products and materials shall be identified in accordance with Section 303.1.
303.5,Section 303 Materials,"Cast-Iron Soil Pipe, Fittings and Components",,,,,,"Cast-iron soil pipes and fittings, and the couplings used to join these products together, shall be third-party listed and labeled. Third-party certifiers or inspectors shall comply with the minimum inspection requirements of Annex A or Annex A1 of the ASTM and CISPI product standards indicated in the code for such products."
304.1,Section 304 Rodentproofing,General,,,,,,Plumbing systems shall be designed and installed in accordance with Sections 304.2 through 304.4 to prevent rodents from entering structures.
304.2,Section 304 Rodentproofing,Strainer Plates,,,,,,Strainer plates on drain inlets shall be designed and installed so that all openings are not greater than 1/2 inch (12.7 mm) in least dimension.
304.3,Section 304 Rodentproofing,Meter Boxes,,,,,,Meter boxes shall be constructed in such a manner that rodents are prevented from entering a structure by way of the water service pipes connecting the meter box and the structure.
304.4,Section 304 Rodentproofing,Openings for Pipes,,,,,,"In or on structures where openings have been made in walls, floors or ceilings for the passage of pipes, the annular space between the pipe and the sides of the opening shall be sealed with caulking materials or closed with gasketing systems compatible with the piping materials and locations."
305.1,Section 305 Protection of Pipes and Plumbing System Components,Protection Against Contact,,,,,,"Piping except for, for cast iron, ductile iron, and galvanized steel shall not be placed in direct contact with steel framing members. Piping shall not be placed in direct contact with concrete or cinder walls and floors, other masonry, and corrosive soil. Where sheathing is used to prevent direct contact, the sheathing shall have a thickness of not less than .025 inch (.64 mm). Where sheathing protects piping that penetrates concrete or masonry walls or floors, the sheathing shall be installed in a manner that allows movement of the piping within the sheathing."
305.2,Section 305 Protection of Pipes and Plumbing System Components,Stress and Strain,,,,,,"Piping in a plumbing system shall be installed so as to prevent strains and stresses that exceed the structural strength of the pipe. Where necessary, provisions shall be made to protect piping from damage resulting from expansion, contraction and structural settlement."
305.3,Section 305 Protection of Pipes and Plumbing System Components,Pipes Through Foundation Walls,,,,,,"Any pipe that passes through a foundation wall shall be provided with a relieving arch, or a pipe sleeve pipe shall be built into the foundation wall. The sleeve shall be two pipe sizes greater than the pipe passing through the wall."
305.4,Section 305 Protection of Pipes and Plumbing System Components,Freezing,,,,,,"Water, soil and waste pipes shall not be installed outside of a building, in attics or crawl spaces, concealed in outside walls, or in any other place subjected to freezing temperatures unless adequate provision is made to protect such pipes from freezing by insulation or heat or both. Exterior water supply system piping shall be installed not less than 6 inches (152 mm) below the frost line and not less than 12 inches (305 mm) below grade."
305.4.1,Section 305 Protection of Pipes and Plumbing System Components,Sewer Depth,,,,,,Building sewers that connect to private sewage disposal systems shall be installed not less than [NUMBER] inches (mm) below finished grade at the point of septic tank connection. Building sewers shall be installed not less than [NUMBER] inches (mm) below grade.
305.5,Section 305 Protection of Pipes and Plumbing System Components,Waterproofing of Openings,,,,,,"Joints at the roof and around vent pipes shall be made watertight by the use of lead, copper, galvanized steel, aluminum, plastic or other approved flashings or flashing material. Exterior wall openings shall be made watertight."
305.6,Section 305 Protection of Pipes and Plumbing System Components,Protection Against Physical Damage,,,,,,"In concealed locations where piping, other than cast iron or galvanized steel, is installed through holes or notches in studs, joists, rafters or similar members less than 11/4 inches (32 mm) from the nearest edge of the member, the pipe shall be protected by steel shield plates. Such shield plates shall have a thickness of not less than 0.0575 inch (1.463 mm) (No. 16 gage). Such plates shall cover the area of the pipe where the member is notched or bored, and shall extend not less than 2 inches (51 mm) above sole plates and below top plates."
305.7,Section 305 Protection of Pipes and Plumbing System Components,Protection of Components of Plumbing System,,,,,,"Components of a plumbing system installed along alleyways, driveways, parking garages or other locations exposed to damage shall be recessed into the wall or otherwise protected in an approved manner."
