id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
23,,Wood,,,,structural_design,structural_engineer,"User notes:About this chapter: Chapter 23 provides minimum requirements for the design of buildings and structures that use wood and wood-based products. The chapter is organized around three design methodologies: allowable stress design (ASD), load and resistance factor design (LRFD) and conventional light-frame construction. In addition it allows the use of the American Wood Council Wood Frame Construction Manual for a limited range of structures. Included in the chapter are references to design and manufacturing standards for various wood and wood-based products; general construction requirements; design criteria for lateral force-resisting systems and specific requirements for the application of the three design methods.Code development reminder: Code change proposals to sections preceded by the designation [BF] will be considered by a code development committee meeting during the 2024 (Group A) Code Development Cycle. All other code change proposals will be considered by a code development committee meeting during the 2025 (Group B) Code Development Cycle."
2301.1,Section 2301 General,Scope,,,,structural_design,structural_engineer,"The provisions of this chapter shall govern the materials, design, construction and quality of wood members and their fasteners."
2301.2,Section 2301 General,Dimensions,,,,structural_design,structural_engineer,"For the purposes of this chapter, where dimensions of lumber are specified, they shall be deemed to be nominal dimensions unless specifically designated as actual dimensions (see Section 2304.2). Where dimensions of cross-laminated timber thickness are specified, they shall be deemed to be actual dimensions."
2302.1,Section 2302 Design Requirements,General,,,,structural_design,structural_engineer,"The design of structural elements or systems, constructed partially or wholly of wood or wood-based products, shall be in accordance with one of the following methods:Allowable stress design in accordance with Sections 2304, 2305 and 2306.Load and resistance factor design in accordance with Sections 2304, 2305 and 2307.Conventional light-frame construction in accordance with Sections 2304 and 2308.AWC WFCM in accordance with Section 2309.The design and construction of log structures in accordance with the provisions of ICC 400."
2303.1,Section 2303 Minimum Standards and Quality,General,,,,structural_design,structural_engineer,Structural sawn lumber; end-jointed lumber; prefabricated wood I-joists; structural glued-laminated timber; cross-laminated timber; wood structural panels; fiberboard sheathing (where used structurally); hardboard siding (where used structurally); particleboard; preservative-treated wood; structural log members; structural composite lumber; round timber poles and piles; fire-retardant-treated wood; hardwood plywood; wood trusses; joist hangers; nails; and staples shall conform to the applicable provisions of this section.
2303.1.1,Section 2303 Minimum Standards and Quality,Sawn Lumber,,,,structural_design,structural_engineer,"Sawn lumber used for load-supporting purposes, including end-jointed or edge-glued lumber, machine stress-rated or machine-evaluated lumber, shall be identified by the grade mark of a lumber grading or inspection agency that has been approved by an accreditation body that complies with DOC PS 20 or equivalent. Grading practices and identification shall comply with rules published by an agency approved in accordance with the procedures of DOC PS 20 or equivalent procedures."
2303.1.1.1,Section 2303 Minimum Standards and Quality,Certificate of Inspection,,,,structural_design,structural_engineer,"In lieu of a grade mark on the material, a certificate of inspection as to species and grade issued by a lumber grading or inspection agency meeting the requirements of this section is permitted to be accepted for precut, remanufactured or rough-sawn lumber and for sizes larger than 3 inches (76 mm) nominal thickness."
2303.1.1.2,Section 2303 Minimum Standards and Quality,End-Jointed Lumber,,,,structural_design,structural_engineer,"Approved end-jointed lumber is permitted to be used interchangeably with solid-sawn members of the same species and grade. End-jointed lumber used in an assembly required to have a fire-resistance rating shall have the designation ""Heat Resistant Adhesive"" or ""HRA"" included in its grade mark."
2303.1.2,Section 2303 Minimum Standards and Quality,Prefabricated Wood I-Joists,,,,structural_design,structural_engineer,Structural capacities and design provisions for prefabricated wood I-joists shall be established and monitored in accordance with ASTM D5055.
2303.1.3,Section 2303 Minimum Standards and Quality,Structural Glued-Laminated Timber,,,,structural_design,structural_engineer,Glued-laminated timbers shall be manufactured and identified as required in ANSI/APA 190.1 and ASTM D3737.
