id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
5,,Water Heaters,,,,,,"User note:About this chapter: Chapter 5 contains regulations concerning the safety of water heating units and hot water storage tanks. Heated (hot or tempered) potable water is needed for plumbing fixtures that are associated with handwashing, bathing, culinary activities and building maintenance. Heated water is commonly stored in large pressurized storage tanks that must be protected against explosion by pressure and temperature relief valves specified in this chapter. This chapter also covers the access requirements to water heaters and hot water storage tanks to allow for the maintenance and replacement of that equipment."
501.1,Section 501 General,Scope,,,,,,"The provisions of this chapter shall govern the materials, design and installation of water heaters and the related safety devices and appurtenances."
501.2,Section 501 General,Water Heater as Space Heater,,,,,,"Where a combination potable water heating and space heating system requires water for space heating at temperatures greater than 140°F (60°C), a temperature-actuated mixing valve complying with ASSE 1017 shall be provided to limit the water supplied to the potable hot water distribution system to a temperature of 140°F (60°C) or less. The potability of the water shall be maintained throughout the system. Requirements for combination potable water heating and space heating systems shall be in accordance with the International Mechanical Code."
501.3,Section 501 General,Drain Valves,,,,,,Drain valves for emptying shall be installed at the bottom of each tank-type water heater and hot water storage tank. The drain valve inlet shall be not less than 3/4-inch (19 mm) nominal iron pipe size and the outlet shall be provided with male garden hose threads.
501.4,Section 501 General,Location,,,,,,"Water heaters and storage tanks shall be located and connected so as to provide access for observation, maintenance, servicing and replacement."
501.5,Section 501 General,Water Heater Labeling,,,,,,Water heaters shall be third-party certified.
501.6,Section 501 General,Water Temperature Control in Piping From Tankless Heaters,,,,,,The temperature of water from tankless water heaters shall be not greater than 140°F (60°C) where intended for domestic uses. This provision shall not supersede the requirement for protective shower valves in accordance with Section 412.3.
501.7,Section 501 General,Pressure Marking of Storage Tanks,,,,,,Storage tanks and water heaters installed for domestic hot water shall have the maximum allowable working pressure clearly and indelibly stamped in the metal or marked on a plate welded thereto or otherwise permanently attached. Such markings shall be in a position with access on the outside of the tank so as to make inspection or reinspection readily possible.
501.8,Section 501 General,Temperature Controls,,,,,,Hot water supply systems shall be equipped with automatic temperature controls capable of adjustments from the lowest to the highest acceptable temperature settings for the intended temperature operating range.
502.1,Section 502 Installation,General,,,,,,Water heaters shall be installed in accordance with the manufacturer's instructions. Oil-fired water heaters shall conform to the requirements of this code and the International Mechanical Code. Electric water heaters shall conform to the requirements of this code and provisions of NFPA 70. Gas-fired water heaters shall conform to the requirements of the International Fuel Gas Code. Solar thermal water heating systems shall conform to the requirements of the International Mechanical Code and ICC 900/SRCC 300.
502.1.1,Section 502 Installation,Elevation and Protection,,,,,,Elevation of water heater ignition sources and mechanical damage protection requirements for water heaters shall be in accordance with the International Mechanical Code and the International Fuel Gas Code.
502.2,Section 502 Installation,Rooms Used as a Plenum,,,,,,"Water heaters using solid, liquid or gas fuel shall not be installed in a room containing air-handling machinery where such room is used as a plenum."
502.3,Section 502 Installation,Water Heaters Installed in Attics,,,,,,Attics containing a water heater shall be provided with an opening and unobstructed passageway large enough to allow removal of the water heater. The passageway shall be not less than 30 inches (762 mm) in height and 22 inches (559 mm) in width and not more than 20 feet (6096 mm) in length when measured along the centerline of the passageway from the opening to the water heater. The passageway shall have continuous solid flooring not less than 24 inches (610 mm) in width. A level service space not less than 30 inches (762 mm) in length and 30 inches (762 mm) in width shall be present at the front or service side of the water heater. The clear access opening dimensions shall be not less than 20 inches by 30 inches (508 mm by 762 mm) where such dimensions are large enough to allow removal of the water heater.
502.4,Section 502 Installation,Seismic Supports,,,,,,"Where earthquake loads are applicable in accordance with the International Building Code, water heater supports shall be designed and installed for the seismic forces in accordance with the International Building Code."
502.5,Section 502 Installation,Clearances for Maintenance and Replacement,,,,,,"Appliances shall be provided with access for inspection, service, repair and replacement without disabling the function of a fire-resistance-rated assembly or removing permanent construction, other appliances or any other piping or ducts not connected to the appliance being inspected, serviced, repaired or replaced. A level working space not less than 30 inches in length and 30 inches in width (762 mm by 762 mm) shall be provided in front of the control side to service an appliance."
503.1,Section 503 Connections,Cold Water Line Valve,,,,,,"The cold water branch line from the main water supply line to each hot water storage tank or water heater shall be provided with a valve, located near the equipment and serving only the hot water storage tank or water heater. The valve shall not interfere or cause a disruption of the cold water supply to the remainder of the cold water system. The valve shall be provided with access on the same floor level as the water heater served."
503.2,Section 503 Connections,Water Circulation,,,,,,The method of connecting a circulating water heater to the tank shall provide proper circulation of water through the water heater. The pipe or tubes required for the installation of appliances that will draw from the water heater or storage tank shall comply with the provisions of this code for material and installation.
504.1,Section 504 Safety Devices,Antisiphon Devices,,,,,,"An approved means, such as a cold water ""dip"" tube with a hole at the top or a vacuum relief valve installed in the cold water supply line above the top of the heater or tank, shall be provided to prevent siphoning of any storage water heater or tank."
504.2,Section 504 Safety Devices,Vacuum Relief Valve,,,,,,Bottom fed water heaters and bottom fed tanks connected to water heaters shall have a vacuum relief valve installed. The vacuum relief valve shall comply with ANSI Z21.22.
504.3,Section 504 Safety Devices,Shutdown,,,,,,A means for disconnecting an electric hot water supply system from its energy supply shall be provided in accordance with NFPA 70. A separate valve shall be provided to shut off the energy fuel supply to all other types of hot water supply systems.
504.4,Section 504 Safety Devices,Relief Valve,,,,,,"Storage water heaters operating above atmospheric pressure shall be provided with an approved, self-closing (levered) pressure relief valve and temperature relief valve or combination thereof. The relief valve shall conform to ANSI Z21.22. The relief valve shall not be used as a means of controlling thermal expansion."
504.4.1,Section 504 Safety Devices,Installation,,,,,,"Such valves shall be installed in the shell of the water heater tank. Temperature relief valves shall be located in the tank so as to be actuated by the water in the top 6 inches (152 mm) of the tank served. For installations with separate storage tanks, the approved, self-closing (levered) pressure relief valve and temperature relief valve or combination thereof conforming to ANSI Z21.22 valves shall be installed on both the storage water heater and storage tank. There shall not be a check valve or shutoff valve between a relief valve and the heater or tank served."
