id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
8,,Indirect/Special Waste,,,,,,User note:About this chapter: There are drainage applications in buildings where a backup of liquid waste in a drainage system could contaminate equipment and appliances. Chapter 8 covers the applications that require an indirect discharge connection to the building's drainage system. The chapter has provisions for the types of indirect connections and waste receptor configurations.
801.1,Section 801 General,Scope,,,,,,"This chapter shall govern matters concerning indirect waste piping and special wastes. This chapter shall further control matters concerning food-handling establishments, sterilizers, humidifiers, clear-water waste, swimming pools, methods of providing air breaks or air gaps, and neutralizing devices for corrosive wastes."
801.2,Section 801 General,Protection,,,,,,"Devices, appurtenances, appliances and apparatus intended to serve some special function, such as sterilization, humidification, distillation, processing, cooling, or storage of ice or foods, and that discharge to the drainage system, shall be provided with protection against backflow, flooding, fouling, contamination and stoppage of the drain."
802.1,Section 802 Indirect Wastes,Where Required,,,,,,"Food-handling equipment, in other than dwelling units, clear-water waste, humidifiers, dishwashing machines and utensils, pots, pans and dishwashing sinks shall discharge through an indirect waste pipe as specified in Sections 802.1.1 through 802.1.7. Fixtures not required to be indirectly connected by this section and the exception to Section 301.6 shall be directly connected to the plumbing system in accordance with Chapter 7."
802.1.1,Section 802 Indirect Wastes,Food Handling,,,,,,"Equipment and fixtures utilized for the storage, preparation and handling of food shall discharge through an indirect waste pipe by means of an air gap. Each well of a multiple-compartment sink shall discharge independently to a waste receptor."
802.1.2,Section 802 Indirect Wastes,Floor Drains in Food Storage Areas,,,,,,"Floor drains located within walk-in refrigerators or freezers in food service and food establishments shall be indirectly connected to the sanitary drainage system by means of an air gap. Where a floor drain is located within an area subject to freezing, the waste line serving the floor drain shall not be trapped and shall indirectly discharge into a waste receptor located outside of the area subject to freezing.Exception: Where protected against backflow by a backwater valve, such floor drains shall be indirectly connected to the sanitary drainage system by means of an air break or an air gap."
802.1.3,Section 802 Indirect Wastes,Potable Clear-Water Waste,,,,,,"Where devices and equipment, such as sterilizers and relief valves, discharge potable water to the building drainage system, the discharge shall be through an indirect waste pipe by means of an air gap."
802.1.4,Section 802 Indirect Wastes,Swimming Pools,,,,,,"Where wastewater from swimming pools, backwash from filters and water from pool deck drains discharge to the building drainage system, the discharge shall be through an indirect waste pipe by means of an air gap."
802.1.5,Section 802 Indirect Wastes,Nonpotable Clear-Water Waste,,,,,,"Where devices and equipment such as process tanks, filters, drips and boilers discharge nonpotable water to the building drainage system, the discharge shall be through an indirect waste pipe by means of an air break or an air gap."
802.1.6,Section 802 Indirect Wastes,Commercial Dishwashing Machines,,,,,,The discharge from a commercial dishwashing machine shall be through an air gap or air break into a waste receptor in accordance with Section 802.3.
802.1.7,Section 802 Indirect Wastes,"Food Utensils, Dishes, Pots and Pans Sinks",,,,,,"Sinks, in other than dwelling units, used for the washing, rinsing or sanitizing of utensils, dishes, pots, pans or service ware used in the preparation, serving or eating of food shall discharge indirectly through an air gap or an air break to the drainage system."
new_802.1.8,Section 802 Indirect Wastes,Domestic Dishwashing Machines,,,,,,Domestic dishwashing machines may be connected to a separately trapped stand pipe provided with an air break (with drain hose secured to the underside of the counter top) or air gap as shown in the illustration below. Refer to 2021 IPC 409.4 for additional waste connections.
802.2,Section 802 Indirect Wastes,"Material, Joints and Connections",,,,,,"The materials, joints, connections and methods utilized for the construction and installation of indirect waste piping systems shall comply with the applicable provisions of Chapter 7."
802.3,Section 802 Indirect Wastes,Installation,,,,,,"Indirect waste piping shall discharge through an air gap or air break into a waste receptor. Waste receptors shall be trapped and vented and shall connect to the building drainage system.Exception: Where a waste receptor receives only clearwater waste and does not directly connect to a sanitary drainage system, the receptor shall not require a trap."
802.3.1,Section 802 Indirect Wastes,Air Gap,,,,,,The air gap between the indirect waste pipe and the flood level rim of the waste receptor shall be not less than twice the effective opening of the indirect waste pipe.
802.3.2,Section 802 Indirect Wastes,Air Break,,,,,,An air break shall be provided between the indirect waste pipe and the trap seal of the waste receptor.
