id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
23,,Solar Thermal Energy Systems,,,,mechanical_systems,mechanical_engineer,"User notes:About this chapter: Chapter 23 is specific to thermal solar systems and equipment. Solar voltaic systems are not addressed in this chapter. This chapter covers solar collectors, system design, safety devices, relief valves, freeze protection, expansion tanks, signage, labeling, heat transfer fluids, protection of potable water and potable water heating.Code development reminder: Code change proposals to this chapter will be considered by the IRC—Plumbing/Mechanical Code Development Committee during the 2021 (Group A) Code Development Cycle."
M2301.1,Section M2301 Solar Thermal Energy Systems,General,,,,mechanical_systems,mechanical_engineer,"This section provides for the design, construction, installation, alteration and repair of equipment and systems using solar thermal energy to provide space heating or cooling, hot water heating and swimming pool heating."
M2301.2,Section M2301 Solar Thermal Energy Systems,Design and Installation,,,,mechanical_systems,mechanical_engineer,The design and installation of solar thermal energy systems shall comply with Sections M2301.2.1 through M2301.2.13.
M2301.2.1,Section M2301 Solar Thermal Energy Systems,Access,,,,mechanical_systems,mechanical_engineer,"Access shall be provided to solar energy equipment for maintenance. Solar systems and appurtenances shall not obstruct or interfere with the operation of any doors, windows or other building components requiring operation or access. Roof-mounted solar thermal equipment shall not obstruct or interfere with the operation of roof-mounted equipment, appliances, chimneys, plumbing vents, roof hatches, smoke vents, skylights and other roof penetrations and openings."
M2301.2.2,Section M2301 Solar Thermal Energy Systems,Collectors and Panels,,,,mechanical_systems,mechanical_engineer,Solar collectors and panels shall comply with Sections M2301.2.2.1 and M2301.2.2.2.
M2301.2.2.1,Section M2301 Solar Thermal Energy Systems,Roof-Mounted Collectors,,,,mechanical_systems,mechanical_engineer,"The roof shall be constructed to support the loads imposed by roof-mounted solar collectors. Roof-mounted solar collectors that serve as a roof covering shall conform to the requirements for roof coverings in Chapter 9 of this code. Where mounted on or above the roof coverings, the collectors and supporting structure shall be constructed of noncombustible materials or fire-retardant-treated wood equivalent to that required for the roof construction."
M2301.2.2.2,Section M2301 Solar Thermal Energy Systems,Collector Sensors,,,,mechanical_systems,mechanical_engineer,"Collector sensor installation, sensor location and the protection of exposed sensor wires from degradation shall be in accordance with ICC 900/SRCC 300."
M2301.2.3,Section M2301 Solar Thermal Energy Systems,Pressure and Temperature Relief Valves and System Components,,,,mechanical_systems,mechanical_engineer,"System components containing fluids shall be protected with temperature and pressure relief valves or pressure relief valves. Relief devices shall be installed in sections of the system so that a section cannot be valved off or isolated from a relief device. Direct systems and the potable water portion of indirect systems shall be equipped with a relief valve in accordance with Section P2804. For indirect systems, pressure relief valves in solar loops shall comply with ICC 900/SRCC 300. System components shall have a working pressure rating of not less than the setting of the pressure relief device."
M2301.2.4,Section M2301 Solar Thermal Energy Systems,Vacuum Relief,,,,mechanical_systems,mechanical_engineer,System components that might be subjected to a vacuum during operation or shutdown shall be designed to withstand such a vacuum or shall be protected with vacuum relief valves.
M2301.2.5,Section M2301 Solar Thermal Energy Systems,Piping Insulation,,,,mechanical_systems,mechanical_engineer,"Piping shall be insulated in accordance with the requirements of Chapter 11. Exterior insulation shall be protected from ultraviolet degradation. The entire solar loop shall be insulated. Where split-style insulation is used, the seam shall be sealed. Fittings shall be fully insulated.Exceptions:Those portions of the piping that are used to help prevent the system from overheating shall not be required to be insulated.Those portions of piping that are exposed to solar radiation, made of the same material as the solar collector absorber plate and are covered in the same manner as the solar collector absorber, or that are used to collect additional solar energy, shall not be required to be insulated.Piping in thermal solar systems using unglazed solar collectors to heat a swimming pool shall not be required to be insulated."
