id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
E,,Sizing of Water Piping System,,,,,,The provisions contained in this appendix are not mandatory unless specifically referenced in the adopting ordinance.User note:About this appendix: The sizing of water service and water distribution piping is not specified in Chapter 6 as it is left up to the designer of the system with the code official approving the design method. Appendix E provides several methods that could be used by a system designer.
E101.1.1,E101.1 Scope,Two Procedures,,,,,,"This appendix outlines two procedures for sizing a water piping system (see Sections E103.3 and E104.1). The design procedures are based on the minimum static pressure available from the supply source, the head changes in the system caused by friction and elevation, and the rates of flow necessary for operation of various fixtures."
E101.1.2,E101.1 Scope,Variable Conditions,,,,,,"Because of the variable conditions encountered in hydraulic design, it is impractical to specify definite and detailed rules for sizing of the water piping system. Accordingly, other sizing or design methods conforming to good engineering practice standards are acceptable alternatives to those presented herein."
E102.1,Section E102 Information Required,Preliminary,,,,,,"Obtain the necessary information regarding the minimum daily static service pressure in the area where the building is to be located. If the building supply is to be metered, obtain information regarding friction loss relative to the rate of flow for meters in the range of sizes likely to be used. Friction loss data can be obtained from most manufacturers of water meters."
E102.2.1,E102.2 Demand Load,Fixture Demand,,,,,,Estimate the supply demand of the building main and the principal branches and risers of the system by totaling the corresponding demand from the applicable part of Table E103.3(3).
E102.2.2,E102.2 Demand Load,Continuous Demand,,,,,,"Estimate continuous supply demands in gallons per minute (L/m) for items such as lawn sprinklers and air conditioners, and add the sum to the total demand for fixtures. The result is the estimated supply demand for the building supply."
E103.1,Section E103 Selection of Pipe Size,General,,,,,,"Decide from Table 604.3 what is the desirable minimum residual pressure that should be maintained at the highest fixture in the supply system. If the highest group of fixtures contains flushometer valves, the pressure for the group should be not less than 15 pounds per square inch (psi) (103.4 kPa) flowing. For flush tank supplies, the available pressure should be not less than 8 psi (55.2 kPa) flowing, except blowout action fixtures must be not less than 25 psi (172.4 kPa) flowing."
E103.2.1,E103.2 Pipe Sizing,Pipe Size Selection,,,,,,Pipe sizes can be selected according to the following procedure or by other design methods conforming to acceptable engineering practice and approved by the administrative authority. The sizes selected must not be less than the minimum required by this code.
E103.2.2,E103.2 Pipe Sizing,Pressures and Losses,,,,,,"Water pipe sizing procedures are based on a system of pressure requirements and losses, the sum of which must not exceed the minimum pressure available at the supply source. These pressures are as follows:Pressure required at fixture to produce required flow. See Sections 604.3 and 604.5.Static pressure loss or gain (due to head) is computed at 0.433 psi per foot (9.8 kPa/m) of elevation change.Example: Assume that the highest fixture supply outlet is 20 feet (6096 mm) above or below the supply source. This produces a static pressure differential of 20 feet by 0.433 psi/foot (2096 mm by 9.8 kPa/m) and an 8.66 psi (59.8 kPa) loss.Loss through water meter. The friction or pressure loss can be obtained from meter manufacturers.Loss through taps in water main.Losses through special devices such as filters, softeners, backflow prevention devices and pressure regulators. These values must be obtained from the manufacturers.Loss through valves and fittings. Losses for these items are calculated by converting to equivalent length of piping and adding to the total pipe length.Loss due to pipe friction can be calculated where the pipe size, the pipe length and the flow through the pipe are known. With these three items, the friction loss can be determined. For piping flow charts not included, use manufacturers' tables and velocity recommendations.For the purposes of all examples, the following metric conversions are applicable:1 cubic foot per minute = 0.4719 L/s1 square foot = 0.0929 m21 degree = 0.0175 rad1 pound per square inch = 6.895 kPa1 inch = 25.4 mm1 foot = 304.8 mm1 gallon per minute = 3.785 L/m"
E103.3,Section E103 Selection of Pipe Size,Segmented Loss Method,,,,,,"The size of water service mains, branch mains and risers by the segmented loss method must be determined according to water supply demand [gpm (L/m)], available water pressure [psi (kPa)] and friction loss caused by the water meter and developed length of pipe [feet (m)], including equivalent length of fittings. The design procedure is based on the following parameters:Calculated friction loss through each length of the pipe.A system of pressure losses, the sum of which must not exceed the minimum pressure available at the street main or other source of supply.The estimated peak demand, total pressure losses caused by difference in elevation, equipment, developed length and pressure required at most remote fixture, loss through taps in water main, losses through fittings, filters, backflow prevention devices, valves and pipe friction.Because of the variable conditions encountered in hydraulic design, it is impractical to specify definite and detailed rules for sizing of the water piping system. Current sizing methods do not address the differences in the probability of use and flow characteristics of fixtures between types of occupancies. Creating an exact model of predicting the demand for a building is impossible and final studies assessing the impact of water conservation on demand are not yet complete. The following steps are necessary for the segmented loss method.Preliminary. Obtain the necessary information regarding the minimum daily static service pressure in the area where the building is to be located. If the building supply is to be metered, obtain information regarding friction loss relative to the rate of flow for meters in the range of sizes to be used. Friction loss data can be obtained from manufacturers of water meters. It is essential that enough pressure be available to overcome all system losses caused by friction and elevation so that plumbing fixtures operate properly. Section 604.6 requires the water distribution system to be designed for the minimum pressure available taking into consideration pressure fluctuations. The lowest pressure must be selected to guarantee a continuous, adequate supply of water. The lowest pressure in the public main usually occurs in the summer because of lawn sprinkling and supplying water for air-conditioning cooling towers. Future demands placed on the public main as a result of large growth or expansion should be considered. The available pressure will decrease as additional loads are placed on the public system.Demand load. Estimate the supply demand of the building main and the principal branches and risers of the system by totaling the corresponding demand from the applicable part of Table E103.3(3) . When estimating peak demand sizing methods typically use water supply fixture units (w.s.f.u.) [see Table E103.3(2)]. This numerical factor measures the load-producing effect of a single plumbing fixture of a given kind. The use of such fixture units can be applied to a single basic probability curve (or table), found in the various sizing methods [Table E103.3(3)]. The fixture units are then converted into gallons per minute (L/m) flow rate for estimating demand.2.1. Estimate continuous supply demand in gallons per minute (L/m) for items such as lawn sprinklers and air conditioners, and add the sum to the total demand for fixtures. The result is the estimated supply demand for the building supply. Fixture units cannot be applied to constant use fixtures such as hose bibbs, lawn sprinklers and air conditioners. These types of fixtures must be assigned the gallon per minute (L/m) value.Selection of pipe size. This water pipe sizing procedure is based on a system of pressure requirements and losses, the sum of which must not exceed the minimum pressure available at the supply source. These pressures are as follows:3.1. Pressure required at the fixture to produce required flow. See Sections 604.3 and 604.5.3.2. Static pressure loss or gain (because of head) is computed at 0.433 psi per foot (9.8 kPa/m) of elevation change.3.3. Loss through a water meter. The friction or pressure loss can be obtained from the manufacturer.3.4. Loss through taps in water main [see Table E103.3(4)].3.5. Losses through special devices such as filters, softeners, backflow prevention devices and pressure regulators. These values must be obtained from the manufacturers.3.6. Loss through valves and fittings [see Tables E103.3(5) and E103.3(6)]. Losses for these items are calculated by converting to equivalent length of piping and adding to the total pipe length.3.7. Loss caused by pipe friction can be calculated where the pipe size, the pipe length and the flow through the pipe are known. With these three items, the friction loss can be determined using Figures E103.3(2) through E103.3(7). When using charts, use pipe inside diameters. For piping flow charts not included, use manufacturers' tables and velocity recommendations. Before attempting to size any water supply system, it is necessary to gather preliminary information that includes available pressure, piping material, select design velocity, elevation differences and developed length to most remote fixture. The water supply system is divided into sections at major changes in elevation or where branches lead to fixture groups. The peak demand must be determined in each part of the hot and cold water supply system that includes the corresponding water supply fixture unit and conversion to gallons per minute (L/m) flow rate to be expected through each section. Sizing methods require the determination of the ""most hydraulically remote"" fixture to compute the pressure loss caused by pipe and fittings. The hydraulically remote fixture represents the most downstream fixture along the circuit of piping requiring the most available pressure to operate properly. Consideration must be given to all pressure demands and losses, such as friction caused by pipe, fittings and equipment, elevation and the residual pressure required by Table 604.3. The two most common and frequent complaints about the water supply system operation are lack of adequate pressure and noise.TABLE E103.3(1)RECOMMENDED TABULAR ARRANGEMENT FOR USE IN SOLVING PIPE SIZING PROBLEMSCOLUMN12345678910LineDescriptionLb per square inch (psi)Gal. per min through sectionLength of section (feet)Trial pipe size (inches)Equivalent length of fittings and valves (feet)Total equivalent length col. 4 and col. 6 (100 feet)Friction loss per 100 feet of trial size pipe (psi)Friction loss in equivalent length col. 8 × col. 7 (psi)Excess pressure over friction losses (psi)AService and cold water distribution pipingaMinimum pressure available at main55.00BHighest pressure required at a fixture (Table 604.3)15.00CMeter loss 2"" meter11.00DTap in main loss 2"" tap [Table E103.3(4)]1.61EStatic head loss 21 × 43 psi9.03FSpecial fixture loss backflow preventer9.00GSpecial fixture loss—Filter0.00HSpecial fixture loss—Other0.00ITotal overall losses and requirements (Sum of Lines B through H)45.64JPressure available to overcome pipe friction (Line A minus Lines B to H)9.36Pipe section (from diagram) Cold water distribution pipingFU264AB288108.05421/215.000.693.22.21—BC264104.5821/20.50.201.90.26—CD13277.01321/27.000.201.90.38—CF b13277.015021/212.001.621.93.08—DE b13277.015021/212.001.621.93.08—KTotal pipe friction losses (cold)——————5.93—LDifference (Line J minus Line K)———————3.43Pipe section (from diagram) Hot water distribution pipingA'B'288108.05421/212.000.693.32.21—B'C'2438.0827.50.161.40.22—C'D'1228.61311/24.00.173.20.54—C'F' b1228.615011/27.001.573.25.02—D'E' b1228.615011/27.001.573.25.02—KTotal pipe friction losses (hot)——————7.99—LDifference (Line J minus Line K)———————1.37For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 psi = 6.895 kPa, 1 gpm = 3.785 L/m.To be considered as pressure gain for fixtures below main (to consider separately, omit from ""I"" and add to ""J"").To consider separately, in K use C-F only if greater loss than above.For SI: 1 foot = 304.8 mm, 1 gpm = 3.785 L/m.FIGURE E103.3(1)EXAMPLE-SIZINGTABLE E103.3(2)LOAD VALUES ASSIGNED TO FIXTURESaFIXTUREOCCUPANCYTYPE OF SUPPLY CONTROLLOAD VALUES, IN WATER SUPPLY FIXTURE UNITS (wsfu)ColdHotTotalBathroom groupPrivateFlush tank2.71.53.6Bathroom groupPrivateFlushometer valve6.03.08.0BathtubPrivateFaucet1.01.01.4BathtubPublicFaucet3.03.04.0BidetPrivateFaucet1.51.52.0Combination fixturePrivateFaucet2.252.253.0Dishwashing machinePrivateAutomatic—1.41.4Drinking fountainOffices, etc.3/8"" valve0.25—0.25Kitchen sinkPrivateFaucet1.01.01.4Kitchen sinkHotel, restaurantFaucet3.03.04.0Laundry trays (1 to 3)PrivateFaucet1.01.01.4LavatoryPrivateFaucet0.50.50.7LavatoryPublicFaucet1.51.52.0Service sinkOffices, etc.Faucet2.252.253.0Shower headPublicMixing valve3.03.04.0Shower headPrivateMixing valve1.01.01.4UrinalPublic1"" flushometer valve10.0—10.0UrinalPublic3/4"" flushometer valve5.0—5.0UrinalPublicFlush tank3.0—3.0Washing machine (8 lb)PrivateAutomatic1.01.01.4Washing machine (8 lb)PublicAutomatic2.252.253.0Washing machine (15 lb)PublicAutomatic3.03.04.0Water closetPrivateFlushometer valve6.0—6.0Water closetPrivateFlush tank2.2—2.2Water closetPublicFlushometer valve10.0—10.0Water closetPublicFlush tank5.0—5.0Water closetPublic or privateFlushometer tank2.0—2.0For SI: 1 inch = 25.4 mm, 1 pound = 0.454 kg.For fixtures not listed, loads should be assumed by comparing the fixture to one listed using water in similar quantities and at similar rates. The assigned loads for fixtures with both hot and cold water supplies are given for separate hot and cold water loads and for total load. The separate hot and cold water loads being three-fourths of the total load for the fixture in each case.For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 gpm = 3.785 L/m, 1 psi = 6.895 kPa, 1 foot per second = 0.305 m/s.This chart applies to smooth new copper tubing with recessed (streamline) soldered joints and to the actual sizes of types indicated on the diagram.FIGURE E103.3(2)FRICTION LOSS IN SMOOTH PIPEa (TYPE K, ASTM B88 COPPER TUBING)TABLE E103.3(3)TABLE FOR ESTIMATING DEMANDSUPPLY SYSTEMS PREDOMINANTLY FOR FLUSH TANKSSUPPLY SYSTEMS PREDOMINANTLY FOR FLUSHOMETER VALVESLoadDemandLoadDemand(Water supply fixture units)(Gallons per minute)(Cubic feet per minute)(Water supply fixture units)(Gallons per minute)(Cubic feet per minute)13.00.04104———25.00.0684———36.50.86892———48.01.06944———59.41.256592515.02.0052610.71.430376617.42.326032711.81.577424719.82.646364812.81.711104822.22.967696913.71.831416924.63.2885281014.61.9517281027.03.609361115.42.0586721127.83.7163041216.02.138881228.63.8232481316.52.205721329.43.9301921417.02.272561430.24.0371361517.52.33941531.04.144081618.02.906241631.84.2410241718.42.4597121732.64.3579681818.82.5131841833.44.4649121919.22.5666561934.24.5718562019.62.6201282035.04.67882521.52.874122538.05.079843023.33.1147443042.05.613563524.93.3286323544.05.881924026.33.5157844046.06.149284527.73.7029364548.06.416645029.13.8900885050.06.6846032.04.277766054.07.218727035.04.67887058.07.753448038.05.079848061.28.1812169041.05.480889064.38.59562410043.55.8150810067.59.023412048.06.4166412073.09.7586414052.57.018214077.010.2933616057.07.6197616081.010.8280818061.08.1544818085.511.4296420065.08.689220090.012.031222570.09.357622595.512.7664425075.010.026250101.013.5016827580.010.6944275104.513.9695630085.011.3628300108.014.43744400105.014.0364400127.016.97736500124.016.57632500143.019.11624750170.022.7256750177.023.661361,000208.027.805441,000208.027.805441,250239.031.949521,250239.031.949521,500269.035.959921,500269.035.959921,750297.039.702961,750297.039.702962,000325.043.4462,000325.043.4462,500380.050.79842,500380.050.79843,000433.057.883443,000433.057.883444,000525.070.1824,000525.070.1825,000593.079.272245,000593.079.27224For SI: 1 inch = 25.4 mm, 1 gallon per minute = 3.785 L/m, 1 cubic foot per minute = 0.28 m 3 per minute.For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 gpm = 3.785 L/m, 1 psi = 6.895 kPa, 1 foot per second = 0.305 m/s.This chart applies to smooth new copper tubing with recessed (streamline) soldered joints and to the actual sizes of types indicated on the diagram.FIGURE E103.3(3)FRICTION LOSS IN SMOOTH PIPEa (TYPE L, ASTM B88 COPPER TUBING)TABLE E103.3(4)LOSS OF PRESSURE THROUGH TAPS AND TEES IN POUNDS PER SQUARE INCH (psi)GALLONS PER MINUTESIZE OF TAP OR TEE (inches)5/83/4111/411/223101.350.640.180.08———205.382.540.770.310.14——3012.105.721.620.690.330.10—40—10.203.071.230.580.18—50—15.904.491.920.910.28—60——6.462.761.310.40—70——8.793.761.780.550.1080——11.504.902.320.720.1390——14.506.212.940.910.16100——17.947.673.631.120.21120——25.8011.005.231.610.30140——35.2015.007.122.200.41150———17.208.162.520.47160———19.609.302.920.54180———24.8011.803.620.68200———30.7014.504.480.84225———38.8018.405.601.06250———47.9022.707.001.31275————27.407.701.59300————32.6010.101.88For SI: 1 inch = 25.4 mm, 1 pound per square inch = 6.895 kPa, 1 gallon per minute = 3.785 L/m.For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 gpm = 3.785 L/m, 1 psi = 6.895 kPa, 1 foot per second = 0.305 m/s.This chart applies to smooth new copper tubing with recessed (streamline) soldered joints and to the actual sizes of types indicated on the diagram.FIGURE E103.3(4)FRICTION LOSS IN SMOOTH PIPEa (TYPE M, ASTM B88 COPPER TUBING)TABLE E103.3(5)ALLOWANCE IN EQUIVALENT LENGTHS OF PIPE FOR FRICTION LOSS IN VALVES AND THREADED FITTINGS (feet)FITTING OR VALVEPIPE SIZE (inches)1/23/4111/411/2221/2345-degree elbow1.21.51.82.43.04.05.06.090-degree elbow2.02.53.04.05.07.08.010.0Tee, run0.60.80.91.21.52.02.53.0Tee, branch3.04.05.06.07.010.012.015.0Gate valve0.40.50.60.81.01.31.62.0Balancing valve0.81.11.51.92.23.03.74.5Plug-type cock0.81.11.51.92.23.03.74.5Check valve, swing5.68.411.214.016.822.428.033.6Globe valve15.020.025.035.045.055.065.080.0Angle valve8.012.015.018.022.028.034.040.0For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 degree = 0.0175 rad.For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 gpm = 3.785 L/m, 1 psi = 6.895 kPa, 1 foot per second = 0.305 m/s.This chart applies to smooth new steel (fairly smooth) pipe and to actual diameters of standard-weight pipe.FIGURE E103.3(5)FRICTION LOSS IN FAIRLY SMOOTH PIPEaTABLE E103.3(6)PRESSURE LOSS IN FITTINGS AND VALVES EXPRESSED AS EQUIVALENT LENGTH OF TUBEa (feet)NOMINAL OR STANDARD SIZE (inches)FITTINGSCouplingVALVESStandard Ell90-Degree TeeBallGateButterflyCheck90 Degree45 DegreeSide BranchStraight Run3/80.5—1.5—————1.51/210.52—————25/81.50.52—————2.53/420.53—————312.514.5——0.5——4.511/4315.50.50.50.5——5.511/241.570.50.50.5——6.525.5290.50.50.50.57.5921/272.5120.50.5—11011.5393.51511—1.515.514.531/293.51411—2—12.5412.552111—21618.55166271.51.5—311.523.561973422—3.513.526.5829115033—512.539For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 degree = 0.01745 rad.Allowances are for streamlined soldered fittings and recessed threaded fittings. For threaded fittings, double the allowances shown in the table. The equivalent lengths presented above are based on a C factor of 150 in the Hazen-Williams friction loss formula. The lengths shown are rounded to the nearest half-foot.For SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 gpm = 3.785 L/m, 1 psi = 6.895 kPa, 1 foot per second = 0.305 m/s.This chart applies to fairly rough pipe and to actual diameters, which in general will be less than the actual diameters of the new pipe of the same kind.FIGURE E103.3(6)FRICTION LOSS IN FAIRLY ROUGH PIPEaFor SI: 1 inch = 25.4 mm, 1 foot = 304.8 mm, 1 gpm = 3.785 L/m, 1 psi = 6.895 kPa, 1 foot per second = 0.305 m/s.This chart applies to very rough pipe and existing pipe and to their actual diameters.FIGURE E103.3(7)FRICTION LOSS IN ROUGH PIPEa"
