id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
2,,Definitions,,,,,,"User note:About this chapter: Codes, by their very nature, are technical documents. Every word, term and punctuation mark can add to or change the meaning of a technical requirement. It is necessary to maintain a consensus on the specific meaning of each term contained in the code. Chapter 2 performs this function by stating clearly what specific terms mean for the purpose of the code."
201.1,Section 201 General,Scope,,,,,,"Unless otherwise expressly stated, the following words and terms shall, for the purposes of this code, have the meanings shown in this chapter."
201.2,Section 201 General,Interchangeability,,,,,,Words stated in the present tense include the future; words stated in the masculine gender include the feminine and neuter; the singular number includes the plural and the plural the singular.
201.3,Section 201 General,Terms Defined in Other Codes,,,,,,"Where terms are not defined in this code and are defined in the International Building Code, International Fire Code, International Fuel Gas Code or the International Mechanical Code, such terms shall have the meanings ascribed to them as in those codes."
201.4,Section 201 General,Terms Not Defined,,,,,,"Where terms are not defined through the methods authorized by this section, such terms shall have ordinarily accepted meanings such as the context implies."
accepted_engineering_practice_,Section 202 General Definitions,Accepted Engineering Practice,,,,,,"That which conforms to accepted principles, tests or standards of nationally recognized technical or scientific authorities."
access_to_,Section 202 General Definitions,Access (To),,,,,,"That which enables a fixture, appliance or equipment to be reached by ready access or by a means that first requires the removal or movement of a panel or similar obstruction (see ""Ready access"")."
access_cover_,Section 202 General Definitions,Access Cover,,,,,,"A removable plate, usually secured by bolts or screws, to permit access to a pipe or pipe fitting for the purposes of inspection, repair or cleaning."
accessible_,Section 202 General Definitions,Accessible,,,,,,"A site, building, facility or portion thereof that complies with Chapter 11 of the International Building Code."
adapter_fitting_,Section 202 General Definitions,Adapter Fitting,,,,,,An approved connecting device that suitably and properly joins or adjusts pipes and fittings that do not otherwise fit together.
air_admittance_valve_,Section 202 General Definitions,Air Admittance Valve,,,,,,One-way valve designed to allow air to enter the plumbing drainage system when negative pressures develop in the piping system. The device shall close by gravity and seal the vent terminal at zero differential pressure (no-flow conditions) and under positive internal pressures. The purpose of an air admittance valve is to provide a method of allowing air to enter the plumbing drainage system without the use of a vent extended to open air and to prevent sewer gases from escaping into a building.
air_break_drainage_system_,Section 202 General Definitions,Air Break (Drainage System),,,,,,"A piping arrangement in which a drain from a fixture, appliance or device discharges indirectly into another fixture, receptacle or interceptor at a point below the flood level rim and above the trap seal."
air_gap_drainage_system_,Section 202 General Definitions,Air Gap (Drainage System),,,,,,The unobstructed vertical distance through the free atmosphere between the outlet of the waste pipe and the flood level rim of the receptacle into which the waste pipe is discharging.
air_gap_water_distribution_system_,Section 202 General Definitions,Air Gap (Water Distribution System),,,,,,"The unobstructed vertical distance through the free atmosphere between the lowest opening from any pipe or faucet supplying water to a tank, plumbing fixture or other device and the flood level rim of the receptacle."
alternate_on_site_nonpotable_water_,Section 202 General Definitions,Alternate On-Site Nonpotable Water,,,,,,"Nonpotable water from other than public utilities, on-site surface sources and subsurface natural freshwater sources. Examples of such water are graywater, on-site reclaimed water, collected rainwater, captured condensate and rejected water from reverse osmosis systems."
alternative_engineered_design_,Section 202 General Definitions,Alternative Engineered Design,,,,,,"A plumbing system that performs in accordance with the intent of Chapters 3 through 14 and provides an equivalent level of performance for the protection of public health, safety and welfare. The system design is not specifically regulated by Chapters 3 through 14."
anchors_,Section 202 General Definitions,Anchors,,,,,,"See ""Supports."""
antisiphon_,Section 202 General Definitions,Antisiphon,,,,,,A term applied to valves or mechanical devices that eliminate siphonage.
approved_,Section 202 General Definitions,Approved,,,,,,Acceptable to the code official.
approved_agency_,Section 202 General Definitions,Approved Agency,,,,,,"An established and recognized agency that is regularly engaged in conducting tests or furnishing inspection services, or furnishing product certification where such agency has been approved by the code official."
area_drain_,Section 202 General Definitions,Area Drain,,,,,,A receptacle designed to collect surface or storm water from an open area.
backflow_,Section 202 General Definitions,Backflow,,,,,,"Pressure created by any means in the water distribution system, which by being in excess of the pressure in the water supply mains causes a potential backflow condition."
backflow_backpressure_low_head_,Section 202 General Definitions,"Backpressure, Low Head",,,,,,A pressure less than or equal to 4.33 psi (29.88 kPa) or the pressure exerted by a 10-foot (3048 mm) column of water.
backflow_backsiphonage_,Section 202 General Definitions,Backsiphonage,,,,,,"The backflow of potentially contaminated water into the potable water system as a result of the pressure in the potable water system falling below atmospheric pressure of the plumbing fixtures, pools, tanks or vats connected to the potable water distribution piping."
backflow_water_supply_system_,Section 202 General Definitions,Water Supply System,,,,,,"The flow of water or other liquids, mixtures or substances into the distribution pipes of a potable water supply from any source except the intended source."
backflow_drainage_,Section 202 General Definitions,"Backflow, Drainage",,,,,,A reversal of flow in the drainage system.
backflow_connection_,Section 202 General Definitions,Backflow Connection,,,,,,Any arrangement whereby backflow is possible.
backflow_preventer_,Section 202 General Definitions,Backflow Preventer,,,,,,"A backflow prevention assembly, a backflow prevention device or other means or method to prevent backflow into the potable water supply."
backwater_valve_,Section 202 General Definitions,Backwater Valve,,,,,,"A device or valve installed in the building drain or sewer pipe where a sewer is subject to backflow, and that prevents drainage or waste from backing up into a lower level or fixtures and causing a flooding condition."
base_flood_elevation_,Section 202 General Definitions,Base Flood Elevation,,,,,,"A reference point, determined in accordance with the building code, based on the depth or peak elevation of flooding, including wave height, which has a 1-percent (100-year flood) or greater chance of occurring in any given year."
bathroom_group_,Section 202 General Definitions,Bathroom Group,,,,,,"A group of fixtures consisting of a water closet, lavatory, bathtub or shower, including or excluding a bidet, an emergency floor drain or both. Such fixtures are located together on the same floor level."
branch_,Section 202 General Definitions,Branch,,,,,,"Any part of the piping system except a riser, main or stack."
branch_interval_,Section 202 General Definitions,Branch Interval,,,,,,"A vertical measurement of distance, 8 feet (2438 mm) or more in developed length, between the connections of horizontal branches to a drainage stack. Measurements are taken down the stack from the highest horizontal branch connection."
branch_vent_,Section 202 General Definitions,Branch Vent,,,,,,A vent connecting one or more individual vents with a vent stack or stack vent.
building_,Section 202 General Definitions,Building,,,,,,Any structure utilized or intended for supporting or sheltering any occupancy.
building_drain_,Section 202 General Definitions,Building Drain,,,,,,"That part of the lowest piping of a drainage system that receives the discharge from soil, waste and other drainage pipes inside and that extends 30 inches (762 mm) in developed length of pipe beyond the exterior walls of the building and conveys the drainage to the building sewer."
building_drain_combined_,Section 202 General Definitions,Combined,,,,,,A building drain that conveys both sewage and storm water or other drainage.
building_drain_sanitary_,Section 202 General Definitions,Sanitary,,,,,,A building drain that conveys sewage only.
building_drain_storm_,Section 202 General Definitions,Storm,,,,,,"A building drain that conveys storm water or other drainage, but not sewage."
building_sewer_,Section 202 General Definitions,Building Sewer,,,,,,"That part of the drainage system that extends from the end of the building drain and conveys the discharge to a public sewer, private sewer, individual sewage disposal system or other point of disposal."
building_sewer_combined_,Section 202 General Definitions,Combined,,,,,,A building sewer that conveys both sewage and storm water or other drainage.
building_sewer_sanitary_,Section 202 General Definitions,Sanitary,,,,,,A building sewer that conveys sewage only.
building_sewer_storm_,Section 202 General Definitions,Storm,,,,,,"A building sewer that conveys storm water or other drainage, but not sewage."
building_subdrain_,Section 202 General Definitions,Building Subdrain,,,,,,That portion of a drainage system that does not drain by gravity into the building sewer.
building_trap_,Section 202 General Definitions,Building Trap,,,,,,"A device, fitting or assembly of fittings installed in the building drain to prevent circulation of air between the drainage system of the building and the building sewer."
circuit_vent_,Section 202 General Definitions,Circuit Vent,,,,,,A vent that connects to a horizontal drainage branch and vents two traps to not more than eight traps or trapped fixtures connected into a battery.
circulating_hot_water_system_,Section 202 General Definitions,Circulating Hot Water System,,,,,,A specifically designed water distribution system where one or more pumps are operated in the service hot water piping to circulate heated water from the water-heating equipment to fixture supply and back to the water-heating equipment.
cistern_,Section 202 General Definitions,Cistern,,,,,,"A small covered tank for storing water for a home or farm. Generally, this tank stores rainwater to be utilized for purposes other than in the potable water supply, and such tank is placed underground in most cases."
cleanout_,Section 202 General Definitions,Cleanout,,,,,,"An access opening in the drainage system utilized for the removal of obstructions. Types of cleanouts include a removable plug or cap, and a removable fixture or fixture trap."
code_,Section 202 General Definitions,Code,,,,,,"These regulations, subsequent amendments thereto or any emergency rule or regulation that the administrative authority having jurisdiction has lawfully adopted."
code_official_,Section 202 General Definitions,Code Official,,,,,,"The officer or other designated authority charged with the administration and enforcement of this code, or a duly authorized representative."
collection_pipe_,Section 202 General Definitions,Collection Pipe,,,,,,Unpressurized pipe used within the collection system that drains on-site nonpotable water or rainwater to a storage tank by gravity.
combination_fixture_,Section 202 General Definitions,Combination Fixture,,,,,,A fixture combining one sink and laundry tray or a two- or three-compartment sink or laundry tray in one unit.
combination_waste_and_vent_system_,Section 202 General Definitions,Combination Waste and Vent System,,,,,,"A specially designed system of waste piping embodying the horizontal wet venting of one or more sinks, lavatories, drinking fountains or floor drains by means of a common waste and vent pipe adequately sized to provide free movement of air above the flow line of the drain."
combined_building_drain_,Section 202 General Definitions,Combined Building Drain,,,,,,"See ""Building drain, combined."""
combined_building_sewer_,Section 202 General Definitions,Combined Building Sewer,,,,,,"See ""Building sewer, combined."""
common_vent_,Section 202 General Definitions,Common Vent,,,,,,A vent connecting at the junction of two fixture drains or to a fixture branch and serving as a vent for both fixtures.
concealed_fouling_surface_,Section 202 General Definitions,Concealed Fouling Surface,,,,,,Any surface of a plumbing fixture that is not readily visible and is not scoured or cleansed with each fixture operation.
conductor_,Section 202 General Definitions,Conductor,,,,,,A pipe inside the building that conveys storm water from the roof to a storm or combined building drain.
